"time","L","S","E","I_S","I_A","H","R","D"
83.5,0.,0.8050768682126221,0.002775038166617876,0.00021360909763050483,0.0026008106663839878,0.0002806652128978818,0.1869200850209218,0.002132923591925616,""
84.,0.,0.8053030335846992,0.0027982260548274776,0.00021537402491079383,0.0026221052315279,0.00028292016481659677,0.1866431178731022,0.0021352230351155445,""
84.5,0.,0.8055259151077756,0.0028216443441746474,0.00021715666686105372,0.002643614484173021,0.0002851980619428291,0.18636893034770036,0.0021375409563723067,""
85.,0.,0.8057454935158028,0.0028452951890800505,0.0002189571670549437,0.0026653403853233917,0.0002874991448221374,0.18609753699938084,0.0021398775675355902,""
85.5,0.,0.8059617511793833,0.0028691806194223587,0.00022077567074175222,0.0026872848251785686,0.00028982363410296407,0.18582895097582222,0.002142233064348626,""
86.,0.,0.8061746712224628,0.002893302607754061,0.00022261232394205316,0.0027094496613470844,0.0002921717412751884,0.18556318477707315,0.0021446076351455115,""
86.5,0.,0.806384236768987,0.002917663126627646,0.00022446727267642037,0.0027318367514374735,0.0002945436778286894,0.1853002509031822,0.002147001468260344,""
87.,0.,0.806590430942902,0.002942264148595602,0.00022634066296542776,0.0027544479530582696,0.00029693965525334645,0.185040161854198,0.00214941475202722,""
87.5,0.,0.8067932368681533,0.0029671076462104186,0.0002282326408296492,0.0027772851238180058,0.0002993598850390386,0.18478293013016914,0.0021518476747802375,""
88.,0.,0.8069926375414714,0.0029921955947441884,0.00023014335330289652,0.002800350130024786,0.0003018045792234905,0.1845285683440053,0.002154300426227624,""
88.5,0.,0.8071886129150517,0.003017530034554881,0.00023207297166790604,0.0028236450461858018,0.00030427396295552476,0.18427709180962046,0.002156773228963462,""
89.,0.,0.8073811438824932,0.0030431129858751954,0.0002340216597093788,0.0028471718824307863,0.0003067682573298678,0.1840285150057482,0.002159266295413166,""
89.5,0.,0.8075702124191715,0.0030689464458116787,0.00023598957259594904,0.0028709325749126983,0.00030928767878264364,0.18378285145140813,0.0021617798263172294,""
90.,0.,0.8077558005004623,0.0030950324114708792,0.00023797686549625104,0.0028949290597844964,0.0003118324437499762,0.18354011466561979,0.002164314022416147,""
90.5,0.,0.8079378901017412,0.0031213728799593453,0.00023998369357891905,0.002919163273199138,0.0003144027686679896,0.18330031816740278,0.002166869084450413,""
91.,0.,0.808116463198384,0.0031479698483836255,0.00024201021201258739,0.0029436371513095827,0.00031699886997280764,0.18306347547577662,0.002169445213160521,""
91.5,0.,0.8082915017613937,0.0031748253136997555,0.00024405657596908743,0.0029683526302911848,0.00031962096410680465,0.18282960011419427,0.0021720426093449416,""
